,pl_b1_raw_log_c1,pl_b1_raw_alpha1,pl_b1_raw_b1,pl_b1_raw_alpha2
0,-2.6762439727244596,0.6176707097866877,18.0,1.2915391726204641
1,-2.6802300517569466,0.6086684614322743,16.0,1.2788330254253477
2,-2.6692735409411563,0.6242582375965076,18.0,1.290794777554582
3,-2.6752497808522913,0.6144212440301887,16.0,1.264989259768226
4,-2.667089590485777,0.6244475278221783,18.0,1.2901111370580933
5,-2.682115821710618,0.6117695959361914,16.0,1.263279007885262
6,-2.660141942927727,0.6377659199453498,20.0,1.2989826137727012
7,-2.677426572071491,0.6106769757515529,16.0,1.26799947713535
8,-2.682873766151694,0.6077178258047441,16.0,1.268687064247925
9,-2.6823711597371855,0.6129648953994593,16.0,1.264414873430119
10,-2.6864678122529395,0.6146784461176079,18.0,1.2966180493809156
11,-2.6606165496578438,0.6292066167734451,20.0,1.3222762849183212
12,-2.6703491595711886,0.6260412070015193,18.0,1.282975984675855
13,-2.673114752233946,0.621465744845513,18.0,1.2899326723759457
14,-2.6796949129359637,0.6182027182879111,18.0,1.288454333289601
15,-2.6702203199452286,0.6213344317476243,18.0,1.2895676139077727
16,-2.682944512830351,0.6124883700679129,16.0,1.2628559252982776
17,-2.675072719904339,0.617762266546092,18.0,1.2956229739200096
18,-2.6763960035057965,0.6220219539425167,18.0,1.283606549858342
19,-2.666428386383529,0.6241241600495584,18.0,1.2910027918487192
