,pl_b1_raw_log_c1,pl_b1_raw_alpha1,pl_b1_raw_b1,pl_b1_raw_alpha2
0,-3.130486675554262,0.463525366605889,14.0,1.1676696586355402
1,-3.187821094939575,0.4074766965039975,10.0,1.122611221952053
2,-3.130315417136825,0.4705694061045613,14.0,1.167642723696672
3,-3.1548523077941764,0.4541045934368056,14.0,1.1752625737721791
4,-3.145310982078243,0.4452296253665784,12.0,1.1493001430891867
5,-3.12322672518871,0.4662018672375678,14.0,1.1724685995938535
6,-3.1527632838249677,0.4488660093549934,14.0,1.1803046972038451
7,-3.147083863247235,0.4452991175719769,12.0,1.145287592153061
8,-3.14346870881093,0.4580089386072258,14.0,1.1716744146875673
9,-3.1353259139565703,0.4823102892028418,16.0,1.1897214989558575
10,-3.111705508258256,0.4920562548656785,16.0,1.1830628523737226
11,-3.144918137156846,0.4563321010278692,14.0,1.1770113535311466
12,-3.2385905787650717,0.39504039970762134,12.0,1.1596045550346328
13,-3.224583869950613,0.4064038494429257,12.0,1.1509332984389742
14,-3.221466507586822,0.3900096238666016,12.0,1.1699116110915588
15,-3.2235146732885274,0.4062463666560235,12.0,1.1553195378994952
16,-3.2448138588310145,0.3722551731084669,10.0,1.1333947947532943
17,-3.217695255216797,0.4168338492495311,14.0,1.1895563369231152
18,-3.25475810650522,0.3859344330441634,12.0,1.1635601728675284
19,-3.2457652410005955,0.4048773972397774,14.0,1.1861944707435914
