,pl_b1_raw_log_c1,pl_b1_raw_alpha1,pl_b1_raw_b1,pl_b1_raw_alpha2,commit_id
0,-2.9804824662431755,0.5744154551674988,22,1.215512103422235,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
1,-2.9636482969771856,0.5860475835440114,24,1.229350390436265,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
2,-2.9579504699460992,0.591076824671529,24,1.2234017093836989,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
3,-2.986014068624959,0.5708318671413594,22,1.2174140355696497,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
4,-2.9600515518197126,0.590767143052935,26,1.2422180214618181,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
5,-2.9513838175165548,0.5962346356357004,26,1.2414039801738312,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
6,-2.9593068717986752,0.5926336895281802,24,1.222960908503362,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
7,-2.962948209206117,0.5861279464760552,24,1.230689001762576,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
8,-2.9546302584635056,0.5920086623465368,26,1.245833161471955,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
9,-2.9756777447447993,0.5807142716733809,24,1.230203395461914,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
10,-2.9754236376343046,0.5852263225976106,26,1.2449896395368516,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
11,-2.966203522818299,0.5896919279844542,26,1.2445222464294972,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
12,-2.971796668247552,0.5824265354093999,24,1.2309725326883645,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
13,-2.9630853836200783,0.5823594392338288,24,1.2377948286197133,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
14,-2.9604083702670256,0.586191458401888,24,1.2305450780089082,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
15,-2.9770913111126474,0.5797952835001882,24,1.233067864522703,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
16,-2.9763151580571328,0.5787170539923229,22,1.2092755521577847,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
17,-2.9506121730570865,0.59195568352528,24,1.2255045817040011,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
18,-2.9706061670338246,0.5840041988333647,24,1.226192805432088,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
19,-2.9484914629773415,0.5967655123478206,26,1.2424584861681396,f996dcd88d311db1fc35cfa39abe58f0e7d6439d
