,pl_b1_raw_log_c1,pl_b1_raw_alpha1,pl_b1_raw_b1,pl_b1_raw_alpha2
0,-2.998975891979677,0.42286969344927094,8.0,1.1297443364863948
1,-3.0325358759844185,0.3998104332074414,8.0,1.1353718298879558
2,-2.995462719940531,0.4462138985255124,10.0,1.1663997948930156
3,-3.0195228409396666,0.39858069946968094,8.0,1.1393108481292218
4,-3.0136140767576856,0.433904293543549,10.0,1.168140368294473
5,-2.983352428903097,0.4386341027409957,10.0,1.171957728022626
6,-2.9836282095204227,0.44541921541003443,10.0,1.1666643331010589
7,-3.019255901357543,0.4475978734252981,12.0,1.1993056333040766
8,-3.0201312351158216,0.42159107326300843,10.0,1.1772831570033664
9,-3.0075188081626125,0.44682133154754344,12.0,1.21904197107171
10,-3.0156911020194737,0.3978023733283912,8.0,1.1449763245241578
11,-2.98996865705615,0.447278710680043,10.0,1.1666688287192872
12,-3.0090489401070926,0.42746391770415354,10.0,1.1816382124313236
13,-2.9779998020592497,0.4447424628168555,10.0,1.1771446789896043
14,-2.9763255677292304,0.4464051121591006,10.0,1.1731800250165914
15,-2.990019842352794,0.4423932394858209,10.0,1.1698738019513615
16,-2.980442319715828,0.443846817820031,10.0,1.1724491847148029
17,-3.007921415694879,0.4372253184989584,10.0,1.1678575693326618
18,-3.013729982119718,0.4234785545887902,10.0,1.1738894756076415
19,-3.06947691014854,0.3619753265263882,8.0,1.1452512239515416
