,fit_cvpca_w_log_c1,fit_cvpca_w_alpha1,fit_cvpca_no_w_log_c1,fit_cvpca_no_w_alpha1,pl_b0_raw_log_c1,pl_b0_raw_alpha1,pl_b1_raw_log_c1,pl_b1_raw_alpha1,pl_b1_raw_b1,pl_b1_raw_alpha2
ms_natimg2800_M170717_MP033_2017-08-20,-1.8660615738137,0.9869103872808305,-1.732942908629507,1.013886388579955,-3.022144998759975,0.9311197206478137,-3.033032479738884,0.5762597243790625,24.0,1.231168176814815
ms_natimg2800_M170604_MP031_2017-06-28,-1.6565780545998197,1.0324734229036805,-1.541297165231858,1.0557548316529421,-2.9028253442633423,0.9463170391362401,-2.9410377327772363,0.5239531310542311,16.0,1.2268762066413466
ms_natimg2800_M161025_MP030_2017-05-29,-1.7208419898458527,1.0161689835471188,-1.7948469583666236,1.0007952330645618,-2.9736687168316704,0.9091358495620604,-3.147091186076223,0.43928434617012524,14.0,1.1765207390309467
ms_natimg2800_M160825_MP027_2016-12-14,-1.4367909964581298,1.0939016800964154,-1.3551243600673026,1.110688346042187,-2.670135526610157,1.009343980996343,-2.684854644334648,0.6279227830203251,18.0,1.2817588162650984
ms_natimg2800_M170714_MP032_2017-09-14,-1.9064643771120955,0.9759648408442126,-1.8157873852460953,0.994283586263228,-2.820330461465448,0.9137910169321554,-2.9274608600512715,0.46060561010447126,10.0,1.168556307831057
ms_natimg2800_M170714_MP032_2017-08-07,-1.6864594138328992,1.0269098134041572,-1.7330073670675163,1.0170432414324502,-2.659138249499611,0.952474190050409,-2.7211315096650193,0.539226314396326,12.0,1.2229682953590788
ms_natimg2800_M170717_MP034_2017-09-11,-2.020936013286044,0.9625112673901678,-2.0121307948444764,0.9644042030017929,-3.1235537578602157,0.8975448157830825,-3.171679230193823,0.4593729393598216,12.0,1.1191894261472901
