,pl_b0_raw_log_c1_SN_cov_orig,pl_b0_raw_log_c1_SN_cov_aligned,pl_b0_raw_log_c1_SN_cov_ind,pl_b0_raw_alpha1_SN_cov_orig,pl_b0_raw_alpha1_SN_cov_aligned,pl_b0_raw_alpha1_SN_cov_ind,fit_cvpca_w_log_c1_SN_cov_orig,fit_cvpca_w_log_c1_SN_cov_aligned,fit_cvpca_w_log_c1_SN_cov_ind,fit_cvpca_w_alpha1_SN_cov_orig,fit_cvpca_w_alpha1_SN_cov_aligned,fit_cvpca_w_alpha1_SN_cov_ind,commit_id
0,-2.291991301467289,-2.2634210573733253,-2.2526065321839996,1.0060604921834622,1.0099589410867869,1.0143247192236053,-4.403535966458313,-2.5507934581039895,-3.7771358128342634,0.5649903261890001,0.9075693054721578,0.6961451512321797,6b88d3682fe77ce8ad15b402197208ca4034cce6
1,-2.26139106730577,-2.255369805466724,-2.2615011863250936,1.0120468117668584,1.0136631180058246,1.0118552890136963,-4.018233602020566,-2.568191514155756,-3.9819067127101535,0.6424784947296066,0.9059443396672585,0.654204485634773,6b88d3682fe77ce8ad15b402197208ca4034cce6
2,-2.2777527246214984,-2.251068468344536,-2.2716545684246214,1.0080280328373208,1.014234694138862,1.0099397368929313,-4.058142282160195,-2.5625610009145885,-3.798881313959354,0.6318003601246786,0.9094234516609698,0.6903680218855794,6b88d3682fe77ce8ad15b402197208ca4034cce6
3,-2.2849901520348586,-2.2658410745455204,-2.261405371395452,1.008470322485608,1.0142159592516247,1.011810714275951,-4.159894220451175,-2.5389690478092364,-3.75479610885478,0.6135911836186624,0.9125632024236892,0.7009610639192491,6b88d3682fe77ce8ad15b402197208ca4034cce6
4,-2.278135471275646,-2.2172084002706787,-2.256774903696543,1.0095115945143993,1.0225346016604464,1.0125563905515578,-4.309085421836331,-2.5712790739950675,-4.105382438189859,0.5838683533803903,0.9063413658678614,0.6309917632571804,6b88d3682fe77ce8ad15b402197208ca4034cce6
5,-2.270861005895234,-2.268974069113879,-2.270892148521611,1.0116478865206804,1.010710683565051,1.0093440575244672,-4.062929063363638,-2.5309412400164746,-4.131639439817177,0.6335722251654541,0.9123896589484867,0.6269548033442506,6b88d3682fe77ce8ad15b402197208ca4034cce6
6,-2.290020528217117,-2.249573942330655,-2.264621309189336,1.00592647007513,1.0150572235230484,1.011070680885297,-4.118610777007586,-2.5607202238805913,-3.7643511859690495,0.619899597102478,0.9082010605376531,0.6979923753910063,6b88d3682fe77ce8ad15b402197208ca4034cce6
7,-2.2553111041187104,-2.251517748016669,-2.246585919724172,1.0139075838218226,1.014338581109216,1.014787222614443,-4.090242656007155,-2.5551594744458472,-3.896422455854446,0.6253508747178971,0.9074061333662512,0.6735532257803596,6b88d3682fe77ce8ad15b402197208ca4034cce6
8,-2.2944909142951273,-2.241617114022013,-2.2551449367841845,1.0059805734756477,1.0162554179806405,1.0124004118951981,-4.333029386850656,-2.531046692574412,-3.8505797359522482,0.5779873876052295,0.9150527853908822,0.6828822309952727,6b88d3682fe77ce8ad15b402197208ca4034cce6
9,-2.2726422354739104,-2.258255104862877,-2.242961260633139,1.0095525188687475,1.0123767498214293,1.01489056154275,-4.331225976565871,-2.5654248924895886,-3.908238236129478,0.5799057955859719,0.9057015567504738,0.6729413336600256,6b88d3682fe77ce8ad15b402197208ca4034cce6
10,-2.256352573414997,-2.2538894320882026,-2.263638655190528,1.0146115395282143,1.0130648574990715,1.0134159555471203,-4.053668344798673,-2.532973156233896,-3.887487987736931,0.6307447847346411,0.9114398922146636,0.6769585924301206,6b88d3682fe77ce8ad15b402197208ca4034cce6
11,-2.28056539787207,-2.2757330385813943,-2.2536596883916555,1.00922696255758,1.0110409940253722,1.0129714169811126,-4.690574731563722,-2.540989331601819,-3.7594711157641036,0.5100955246407789,0.9116411456927678,0.7025230320996328,6b88d3682fe77ce8ad15b402197208ca4034cce6
12,-2.279540233207148,-2.252200127598591,-2.2532270057183554,1.0096190367997284,1.0137175410448345,1.013600410634618,-4.489903062924896,-2.5231508044874196,-3.687586364111126,0.5467296839396522,0.9160365558973373,0.7126702524902687,6b88d3682fe77ce8ad15b402197208ca4034cce6
13,-2.283353603200509,-2.2827910525717527,-2.247241046497511,1.0081531267190011,1.0086967937742903,1.0147740685904125,-4.090231622349114,-2.606286414269661,-3.7643059784482684,0.6287098497652416,0.895486623473319,0.7008292702924888,6b88d3682fe77ce8ad15b402197208ca4034cce6
14,-2.275781640903832,-2.251171764165773,-2.2588510628233793,1.0083699176296967,1.0155697649664863,1.011900831237206,-4.460118802481363,-2.5185051085513965,-3.6317232031845,0.550691483120788,0.9175593535250208,0.7232204275411821,6b88d3682fe77ce8ad15b402197208ca4034cce6
