,pl_b0_raw_log_c1_SN_cov_orig,pl_b0_raw_log_c1_SN_cov_aligned,pl_b0_raw_log_c1_SN_cov_ind,pl_b0_raw_alpha1_SN_cov_orig,pl_b0_raw_alpha1_SN_cov_aligned,pl_b0_raw_alpha1_SN_cov_ind,fit_cvpca_w_log_c1_SN_cov_orig,fit_cvpca_w_log_c1_SN_cov_aligned,fit_cvpca_w_log_c1_SN_cov_ind,fit_cvpca_w_alpha1_SN_cov_orig,fit_cvpca_w_alpha1_SN_cov_aligned,fit_cvpca_w_alpha1_SN_cov_ind,commit_id,nm
0,-2.3343154178383636,-2.3289842399771206,-2.3351423354915406,0.986574556705591,0.9887165850494783,0.9882410344060805,-3.396532650322066,-2.5616791345700225,-3.6896537003015064,0.7490882758861228,0.9004472025682779,0.6960405970372814,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
1,-2.32298250793375,-2.328479546094654,-2.3409371253974034,0.9892139100112083,0.9889378314369519,0.9866905933132621,-3.4544544578703653,-2.596364886188817,-3.576144887556132,0.7389952208637393,0.8923683972771375,0.7195395450852502,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
2,-2.3264182313279185,-2.3244506829193874,-2.335557326721676,0.9888605854712827,0.9890346872901717,0.9886101926338879,-3.2769207848218183,-2.5938917052260253,-3.7304419270691955,0.7737938784001638,0.8931422304248622,0.6882014757819944,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
3,-2.314256312793516,-2.3120015472307895,-2.3388690271454085,0.9911696828861746,0.9913209730041334,0.9865035374241979,-3.3457984286477274,-2.5856927014088167,-3.663241347949445,0.7591230416155877,0.8949793135049033,0.7012309904203459,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
4,-2.3306483250310785,-2.3308553119281292,-2.341902634721902,0.9874401999859881,0.9888031232584127,0.9866772440429897,-3.4139240000605535,-2.556999990107067,-3.52086010673345,0.7454864160075398,0.9004422125046552,0.7300550116162962,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
5,-2.3328402601654936,-2.3176011742761817,-2.3391492905056492,0.9880664610181386,0.9908434173307471,0.9871386170275565,-3.2681042288387725,-2.5803433474140656,-3.711425860204773,0.7745928036335668,0.8965341512196239,0.6922701198392408,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
6,-2.325375518981504,-2.316868744042528,-2.345608303119768,0.9883334508827482,0.9910727240475296,0.985627559695402,-3.24033947686557,-2.580831058222935,-3.7206521817548985,0.7806445166921472,0.8972894883588196,0.689152575807961,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
7,-2.3257171406813497,-2.3168312089277356,-2.3433411594447686,0.9887435568181195,0.9912050645695285,0.9859362342614116,-3.286118865879372,-2.596242483454043,-3.662424757866401,0.771667121702059,0.8937813348480342,0.7024589474952746,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
8,-2.3394538831428027,-2.3169692917958233,-2.3387155188952167,0.9858307121686146,0.9901034316410379,0.9880388655056875,-3.3360411395618192,-2.5879022492734123,-3.5584068508102558,0.7605520614091671,0.8942854985632798,0.7218003175603221,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
9,-2.3179352055810405,-2.319035026147414,-2.3438760425915968,0.9894401973650325,0.9900839715141613,0.9866798785829289,-3.3300336688416103,-2.6101078296951172,-3.6265888669611166,0.7633310775719121,0.889089817919329,0.7080223298567816,1cd6843a137cc2e4360134903b5377139ba06b83,ms_natimg2800_M170717_MP033_2017-08-20
