,pl_b0_raw_log_c1_SN_cov_orig,pl_b0_raw_log_c1_SN_cov_aligned,pl_b0_raw_log_c1_SN_cov_ind,pl_b0_raw_alpha1_SN_cov_orig,pl_b0_raw_alpha1_SN_cov_aligned,pl_b0_raw_alpha1_SN_cov_ind,fit_cvpca_w_log_c1_SN_cov_orig,fit_cvpca_w_log_c1_SN_cov_aligned,fit_cvpca_w_log_c1_SN_cov_ind,fit_cvpca_w_alpha1_SN_cov_orig,fit_cvpca_w_alpha1_SN_cov_aligned,fit_cvpca_w_alpha1_SN_cov_ind,commit_id
0,-2.140323244403268,-2.1325794238948546,-2.1826969772002003,1.0313507115600171,1.0340651062623158,1.020304156176022,-3.642076905331369,-2.416413154428342,-3.734728618074935,0.6971680767855178,0.9399659548470414,0.6885969468368212,6b88d3682fe77ce8ad15b402197208ca4034cce6
1,-2.1434075364283185,-2.167308132578934,-2.173673843772166,1.030841487333653,1.0244469127956277,1.0209664497486235,-3.620689840274419,-2.393768099662712,-3.9930775279557125,0.7034381595220314,0.9414147538570334,0.6374068153912855,6b88d3682fe77ce8ad15b402197208ca4034cce6
2,-2.1530792587891328,-2.143894666893687,-2.1876687072139394,1.0284177847269502,1.0309350685093,1.0208069148653225,-3.328574861853523,-2.3754390144281636,-4.336886897417176,0.7596925921894173,0.9473286389313283,0.5714969195038458,6b88d3682fe77ce8ad15b402197208ca4034cce6
3,-2.145933740191879,-2.1773620006989933,-2.1872024373983168,1.0299576315389447,1.023954172321078,1.019920520570959,-3.66222485174569,-2.445034599622871,-3.8436795538483435,0.6951884279196257,0.932424678065545,0.66733438800155,6b88d3682fe77ce8ad15b402197208ca4034cce6
4,-2.155078885150935,-2.180563356956752,-2.1986876773733757,1.0268959707696483,1.0238136424751951,1.0177183171250836,-3.584770382339265,-2.3973494519950664,-4.15538381966738,0.7091686431488203,0.9430096299417067,0.6038922955024235,6b88d3682fe77ce8ad15b402197208ca4034cce6
5,-2.170421100494981,-2.1444756553799853,-2.1893824961662354,1.02577858545328,1.0318694407023272,1.018874834518294,-3.552426160334578,-2.4371261004658096,-4.065005275794609,0.7155359475951023,0.9367629790336917,0.6218719692383079,6b88d3682fe77ce8ad15b402197208ca4034cce6
6,-2.150155014041328,-2.1311150380011794,-2.183332543494396,1.0278202454114644,1.0334993666591372,1.020392655616921,-3.6979379540861648,-2.4264001279814678,-4.185294946821865,0.6878025615365798,0.9374073777566609,0.5997749556467602,6b88d3682fe77ce8ad15b402197208ca4034cce6
7,-2.154390487844259,-2.1714644063566872,-2.174806781878481,1.0310294640036484,1.022665990015067,1.0236385564255766,-3.5689689570993766,-2.4122825671745485,-4.133454667373145,0.7133626428004177,0.9371370214750179,0.6072079739489352,6b88d3682fe77ce8ad15b402197208ca4034cce6
8,-2.1502873110116343,-2.146068968975089,-2.167569314399616,1.030083445873233,1.0302133139518816,1.0239002089022913,-3.7192948281929485,-2.4288298198070377,-3.9518422298015867,0.6807728819031145,0.9364740230753682,0.6460892434393681,6b88d3682fe77ce8ad15b402197208ca4034cce6
9,-2.129372741357983,-2.1822298726898355,-2.168285706377453,1.0326269257511032,1.023232090634735,1.0262953151936918,-3.4758940572596786,-2.366906050191517,-4.423578349593772,0.7286683137170414,0.9484448598798776,0.5513752354551654,6b88d3682fe77ce8ad15b402197208ca4034cce6
